Function,ID,Name,Description,subcategories,Actual Score,Target Score
ID (functions/ID%20cbfbcfb32ba15290c21c768657ace43e.csv),ID.RA,Risk Assessment,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization","ID.RA-07 (subcategories/ID%20RA-07%2000540763b2469343129087b5372bf04b.csv), ID.RA-01 (subcategories/ID%20RA-01%2091daae808fb6bf553fa878d7c9268a66.csv), ID.RA-08 (subcategories/ID%20RA-08%20c8b44ef8c924c698ba60100ad291cbcc.csv), ID.RA-02 (subcategories/ID%20RA-02%2068254aa8d468c7acfe67fd72f562ecc8.csv), ID.RA-03 (subcategories/ID%20RA-03%20aa71689b2a094444c0ff7753f8037287.csv), ID.RA-04 (subcategories/ID%20RA-04%206e5033d40c8f3db38bf3baa0a5ae008a.csv), ID.RA-05 (subcategories/ID%20RA-05%20471d88135ac5b130234c5b8818e8b5b0.csv), ID.RA-06 (subcategories/ID%20RA-06%2001ab1cd822f8180f259fd5c5e589cf0a.csv), ID.RA-09 (subcategories/ID%20RA-09%20c7acf265e65d57bf00a87a4b7aa1b1b1.csv), ID.RA-10 (subcategories/ID%20RA-10%2075359a02670b073f67990522856320b7.csv)",1.4,1.5
PR (functions/PR%2098c54861453ab3bbd429d0b4b9e9883a.csv),PR.AA,"Identity Management, Authentication, and Access Control","Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-02 (subcategories/PR%20AA-02%20eec0e5d7732fcf7ac1bc8ad1117d0d4e.csv), PR.AA-01 (subcategories/PR%20AA-01%20eb02dcbe817712f700025c1e66664698.csv), PR.AA-03 (subcategories/PR%20AA-03%2054a9cf99b819ef41ff4a655a6acc488a.csv), PR.AA-04 (subcategories/PR%20AA-04%20b65bbe38a18166ee304e787787d6ad5c.csv), PR.AA-05 (subcategories/PR%20AA-05%200cde5b6e1ff4ca2511f538dae2775ee1.csv), PR.AA-06 (subcategories/PR%20AA-06%20241e7aace9e97226de05319f7ec08f7b.csv)",0.8333333333333334,0.8333333333333334
PR (functions/PR%2098c54861453ab3bbd429d0b4b9e9883a.csv),PR.AT,Awareness and Training,The organization's personnel are provided with cybersecurity awareness and training so that they can perform their cybersecurity-related tasks,"PR.AT-01 (subcategories/PR%20AT-01%20b2266d22e05788fbe0be03cd1dab7f4e.csv), PR.AT-02 (subcategories/PR%20AT-02%2057221b76a736e652ff47c87e73ab04ce.csv)",3,2.5
PR (functions/PR%2098c54861453ab3bbd429d0b4b9e9883a.csv),PR.DS,Data Security,"Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information","PR.DS-01 (subcategories/PR%20DS-01%2082f8d4a003e6c744f0f87b282acea7cb.csv), PR.DS-10 (subcategories/PR%20DS-10%20c70670bf3e90ce979b99692e053d0cde.csv), PR.DS-02 (subcategories/PR%20DS-02%20338a9d19ee98af653b5f7b3d1af08079.csv), PR.DS-11 (subcategories/PR%20DS-11%208b857857c3101f2050c4df86fa82ab7b.csv)",2.75,2.5
PR (functions/PR%2098c54861453ab3bbd429d0b4b9e9883a.csv),PR.IR,Technology Infrastructure Resilience,"Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience","PR.IR-02 (subcategories/PR%20IR-02%20424073462a9fdf424369403e7531fc91.csv), PR.IR-03 (subcategories/PR%20IR-03%209209667d4d797bdfab33914d69dbe625.csv), PR.IR-01 (subcategories/PR%20IR-01%2074a5209fd2477aef6e28ff8e56634653.csv), PR.IR-04 (subcategories/PR%20IR-04%2045d482ce5590f4b44bd97e003646a4a7.csv)",2.5,2.5
PR (functions/PR%2098c54861453ab3bbd429d0b4b9e9883a.csv),PR.PS,Platform Security,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability","PR.PS-01 (subcategories/PR%20PS-01%20887fa02319c01ead80e50f79d66be0fd.csv), PR.PS-05 (subcategories/PR%20PS-05%20f2b1d3d3724527fba1488a027b8344bf.csv), PR.PS-02 (subcategories/PR%20PS-02%202f77497d976a2610c8fff9c3009e70b0.csv), PR.PS-03 (subcategories/PR%20PS-03%200f5c5a65d937d4298316e562a67d8a02.csv), PR.PS-04 (subcategories/PR%20PS-04%2003775c3ac3bbc9caf43ea6337493f179.csv), PR.PS-06 (subcategories/PR%20PS-06%2070b77465677d942847c8205306851f57.csv)",2.1666666666666665,1.6666666666666667
RC (functions/RC%205e0bab02a559f214f918f2f3c30ed235.csv),RC.CO,Incident Recovery Communication,Restoration activities are coordinated with internal and external parties,"RC.CO-03 (subcategories/RC%20CO-03%20fb2f298f4044cc768e2e55c3a0e36b6c.csv), RC.CO-04 (subcategories/RC%20CO-04%2009cbc3094192f87017a8861b9894d4a8.csv)",0,0
RC (functions/RC%205e0bab02a559f214f918f2f3c30ed235.csv),RC.RP,Incident Recovery Plan Execution,Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,"RC.RP-03 (subcategories/RC%20RP-03%2075b98e6a71b242497e892bc109bf4f11.csv), RC.RP-01 (subcategories/RC%20RP-01%20d32592a5907b893099fe68e9844bcd85.csv), RC.RP-02 (subcategories/RC%20RP-02%20783d220cd373572f61755450e05d7abb.csv), RC.RP-04 (subcategories/RC%20RP-04%20eaea933178276a73f865c1cae7f8cedf.csv), RC.RP-05 (subcategories/RC%20RP-05%20fc45785707368f569954fd83cb4627da.csv), RC.RP-06 (subcategories/RC%20RP-06%209d67b36f66ea5bbaf408e5ed43b01bab.csv)",0.9166666666666666,0.8333333333333334
RS (functions/RS%2022ad771a5f706cd61706f78f68aa6d09.csv),RS.AN,Incident Analysis,Investigations are conducted to ensure effective response and support forensics and recovery activities,"RS.AN-03 (subcategories/RS%20AN-03%20f3b0cda474e720f1ec1b885569f20675.csv), RS.AN-06 (subcategories/RS%20AN-06%209cef3643c0504b6770b91b33807b552b.csv), RS.AN-07 (subcategories/RS%20AN-07%203a3fe743308302e73ae2f15c5730b22a.csv), RS.AN-08 (subcategories/RS%20AN-08%2079a0cda5a96ef630d0c091806335e8c3.csv)",0,0
RS (functions/RS%2022ad771a5f706cd61706f78f68aa6d09.csv),RS.CO,Incident Response Reporting and Communication,"Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies","RS.CO-02 (subcategories/RS%20CO-02%205d7f5486d30f0ff255e74c7b47822b3f.csv), RS.CO-03 (subcategories/RS%20CO-03%20df9e112a7a54c89f7e41b96eb4b41750.csv)",0,0
RS (functions/RS%2022ad771a5f706cd61706f78f68aa6d09.csv),RS.MA,Incident Management,Responses to detected cybersecurity incidents are managed,"RS.MA-03 (subcategories/RS%20MA-03%2093c197edfbe8bce77aafa2fa9383a41e.csv), RS.MA-01 (subcategories/RS%20MA-01%204721fc75d4f2c0a091c95efe0be849c0.csv), RS.MA-02 (subcategories/RS%20MA-02%20c4b381cbded6526e3696e626bf660607.csv), RS.MA-04 (subcategories/RS%20MA-04%20c3fd416f3cdbf6cf1623736836c18f89.csv), RS.MA-05 (subcategories/RS%20MA-05%20b5d40872875d36238d772382ec65f72e.csv)",0.6,1
RS (functions/RS%2022ad771a5f706cd61706f78f68aa6d09.csv),RS.MI,Incident Mitigation,Activities are performed to prevent expansion of an event and mitigate its effects,"RS.MI-02 (subcategories/RS%20MI-02%20d6ba68adb360cf3c62b00dd9166a1cc1.csv), RS.MI-01 (subcategories/RS%20MI-01%2025d8c793f4d22558a436e41edb3c1160.csv)",4.5,5
