ID,Function,Function Description,Category ID,Category,Category Description,Subcategory ID,Subcategory Description,Implementation Example,Implementation Description,In Scope? ,Owner,Stakeholder(s),Auditor,NIST 800-53 Control Ref,Test Procedure(s),Q1 Actual Score,Q1 Target Score,Q1 Observations,Q1 Observation Date,Q1 Testing Status,Q1 Examine,Q1 Interview,Q1 Test,Q2 Actual Score,Q2 Target Score,Q2 Observations,Q2 Observation Date,Q2 Testing Status,Q2 Examine,Q2 Interview,Q2 Test,Q3 Actual Score,Q3 Target Score,Q3 Observations,Q3 Observation Date,Q3 Testing Status,Q3 Examine,Q3 Interview,Q3 Test,Q4 Actual Score,Q4 Target Score,Q4 Observations,Q4 Observation Date,Q4 Testing Status,Q4 Examine,Q4 Interview,Q4 Test,Remediation Owner,Remediation Due Date,Minimum Target,Action Plan,Artifact Name
GV.PO-01 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.PO,Policy (GV.PO),"Policy for managing cybersecurity risks is established based on organizational context
cybersecurity strategy
and priorities and is communicated and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context
cybersecurity strategy
and priorities and is communicated and enforced","Ex1: Create, disseminate, and maintain an understandable, usable risk management policy with statements of management intent, expectations, and direction","The risk management policy was rewritten in the post-incident program rebuild, approved by the board in mid-2025, and communicated through Workday attestation with completion tracked. The policy states management intent, risk ownership, and escalation paths.",Yes,Gerry Callahan,Chris Meyers; Dana Okafor,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,5.5,5,"The risk management policy was rewritten in the post-incident program rebuild, approved by the board in mid-2025, and communicated through Workday attestation with completion tracked. The policy states management intent, risk ownership, and escalation paths. Enforcement is active — two policy exceptions were formally processed this quarter. Annual review is scheduled but the policy has only been through one cycle.",2026-06-19,Complete,"Risk management policy v2.1, Workday attestation records",Gerry Callahan,Sampled 25 employees for attestation completion; 24 of 25 complete,5.5,5,"Policy operated consistently through the quarter: attestation tracking in Workday held completion above target, and three exceptions were processed through the documented path with tiered approval. The annual review is calendared for Q4, which will complete the policy's second full cycle; until then the control remains consistent with measurement via attestation and exception metrics.",2026-09-15,Complete,Attestation completion report and exception records,Gerry Callahan,,6,5,"The annual policy review completed in November — the second full cycle — incorporating lessons from the year's exception patterns and the ROC charter's decision-rights language. Revisions were board-approved in December and pushed through Workday attestation. With two review cycles complete and exception/attestation metrics actively reviewed, the control reaches the measured threshold.",2026-12-09,Complete,November review record and board approval minutes,Gerry Callahan,,,,5,,Risk-Mgmt-Policy-v2.1
GV.PO-02 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.PO,Policy (GV.PO),"Policy for managing cybersecurity risks is reviewed
updated
communicated
and enforced to reflect changes in requirements
threats
technology
and organizational mission",GV.PO-02,"communicated
Policy for managing cybersecurity risks is reviewed
updated
and enforced to reflect changes in requirements
threats
technology
and organizational mission",Ex1: Update policy based on periodic reviews of cybersecurity risk management results to ensure that policy and supporting processes and procedures adequately maintain risk at an acceptable level,"Policy review is calendared annually with defined triggers for out-of-cycle updates (incident, regulatory change, major architecture shift). The 2025 rewrite proves the mechanism works, but the periodic review has not yet completed a second cycle and threat-driven update triggers have not been exercised — the Apple Passkey integration shipped without the policy impact review the procedure requires..",Yes,Gerry Callahan,Leila Haddad,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,4.5,5,"Policy review is calendared annually with defined triggers for out-of-cycle updates (incident, regulatory change, major architecture shift). The 2025 rewrite proves the mechanism works, but the periodic review has not yet completed a second cycle and threat-driven update triggers have not been exercised — the Apple Passkey integration shipped without the policy impact review the procedure requires.",2026-06-19,Complete,"Policy review calendar, change log for policy suite",Leila Haddad,Checked Passkey integration records for policy review evidence; none found,5,5,"The missed Passkey policy impact review was executed in August and closed with two clause updates; integration launches were added to the mandatory out-of-cycle trigger checklist as the action plan required. Triggers are now defined, calendared, and demonstrated once. The periodic review's second cycle is scheduled for Q4, so trigger discipline is proven but trend evidence is single-instance.",2026-09-16,Complete,Passkey impact review record and updated trigger checklist,Gerry Callahan; Leila Haddad,,5.5,5,Out-of-cycle triggers were exercised twice this quarter — the Data Encryption Upgrade completion and the ROC charter adoption each drove a documented policy impact check — and the annual review completed on schedule. The update mechanism now has multiple demonstrated executions with tracking; measurement of trigger latency began in December.,2026-12-08,Complete,Q4 trigger execution records,Leila Haddad,,Leila Haddad,2026-08-15,5,Run the missed policy impact review for the Passkey integration and add integration launches to the mandatory out-of-cycle trigger checklist.,Policy-Review-Calendar
GV.RM-01 Ex2,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-01,Risk management objectives are established and agreed to by organizational stakeholders,"Ex2: Establish measurable objectives for cybersecurity risk management (e.g., manage the quality of user training, ensure adequate risk protection for industrial control systems)","Risk management objectives are established with Board approval and tracked via automated dashboards: TTD target <4 minutes by Jan 2027, TTR-CJC target <16 hours by Aug 2027. Objectives align with company goals G1-G8. Monthly management reviews assess progress, with ASM vendor selection addressing risk register items R2 (perimeter monitoring) and R4 (asset inventory).",Yes,Gerry Callahan,Chris Meyers; Priya Raman,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,"1. Review risk management objectives
2. Verify Board approval documentation
3. Examine automated dashboards
4. Assess alignment with company goals",6,5,Per Internal Audit Q1 2026 assessment (IA-2026-001); see IA workpapers.,2026-03-10,Complete,Per IA workpapers,Per IA workpapers,Per IA workpapers,6,6,"Measurable risk management objectives are established and board-approved: TTD under 4 minutes by January 2027, TTR-CJC under 16 hours and TTR-C under 3 days by August 2027, public trust above 90 percent by January 2027. Objectives are tracked on automated dashboards fed from ServiceNow and AWS-native telemetry, reviewed monthly, and tied to the six strategic risks.",2026-06-19,Complete,"Board-approved objectives memo, KPI dashboards",Gerry Callahan,Verified dashboard values against source incident and survey data,6,5,"Risk objectives remained board-visible and tracked on automated dashboards through the quarter; the September review confirmed trajectory against the January 2027 TTD and trust-score commitments and the August 2027 TTR targets, none of which are claimed met. Objectives were restated unchanged in the ROC charter, which binds them to the weekly operating cadence live since September.",2026-09-18,Complete,Objective dashboard and September board review,Gerry Callahan,,6,5,"Holding at measured: dashboards tracked all objectives through Q4 and the December board pack reported year-end status honestly — TTD improved but still hours-grade against the January 2027 sub-4-minute target, trust recovery on trend but below the 90 percent goal. Objectives carry into 2027 unchanged; sustained execution, no structural advance.",2026-12-11,Complete,Q4 objective dashboard and year-end board pack,Gerry Callahan,,,,5,,Risk-Objectives-Memo
GV.RM-02 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-02,"communicated
Risk appetite and risk tolerance statements are established
and maintained",Ex1: Determine and communicate risk appetite statements that convey expectations about the appropriate level of risk for the organization,"A draft risk appetite statement exists — biometric template confidentiality is non-negotiable, availability tolerance is defined per customer SLA tiers, and fraud-loss tolerance is expressed in dollar terms — but it has not been ratified by the full board or cascaded into decision criteria below the CISO staff level. Teams currently infer tolerance from the risk register rather than an authoritative statement..",Yes,Gerry Callahan,Chris Meyers; Priya Raman; Dana Okafor,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,4.5,6,"A draft risk appetite statement exists — biometric template confidentiality is non-negotiable, availability tolerance is defined per customer SLA tiers, and fraud-loss tolerance is expressed in dollar terms — but it has not been ratified by the full board or cascaded into decision criteria below the CISO staff level. Teams currently infer tolerance from the risk register rather than an authoritative statement.",2026-06-19,Complete,"Draft risk appetite statement, CISO staff minutes",Gerry Callahan,,5.5,6,"The risk appetite statement was finalized and ratified by the full board at the September meeting, as the ROC charter work required: biometric confidentiality non-negotiable, availability tolerance per SLA tier, fraud-loss tolerance in dollars, calibrated against cyber-insurance limits confirmed with Dana Okafor. Cascade began immediately — CISO staff decisions now cite the statement — though embedding into ServiceNow scoring rules is still in progress.",2026-09-19,Complete,Ratified appetite statement and board minutes,Gerry Callahan; Dana Okafor,,6,6,"Appetite thresholds were embedded into ServiceNow risk scoring rules in October; acceptance decisions this quarter reference the statement's tiers, and two proposals exceeding tolerance were escalated per the defined path. The statement, its insurance-limit derivation, and its application are now documented, communicated, and measured through decision records — meeting the target.",2026-12-10,Complete,ServiceNow scoring rules and Q4 acceptance decisions,Leila Haddad,Traced two escalations against threshold rules,Gerry Callahan,2026-09-30,5,"Finalize the risk appetite statement, obtain board ratification at the Q3 meeting, and embed tolerance thresholds into ServiceNow risk scoring rules.",Risk-Appetite-Draft-v0.9
GV.RM-03 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-03,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,"Ex1: Aggregate and manage cybersecurity risks alongside other enterprise risks (e.g., compliance, financial, operational, regulatory, reputational, safety)","Cybersecurity risks are aggregated in the ServiceNow register alongside operational and compliance risks, reviewed monthly by CISO staff and quarterly with the CFO for enterprise roll-up to the Audit Committee. The mechanism executes consistently.",Yes,Leila Haddad,Gerry Callahan; Dana Okafor,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,5,6,"Cybersecurity risks are aggregated in the ServiceNow register alongside operational and compliance risks, reviewed monthly by CISO staff and quarterly with the CFO for enterprise roll-up to the Audit Committee. The mechanism executes consistently. Integration remains one-directional — finance and regulatory risks inform cyber prioritization informally, and there is no single enterprise-level register combining all risk domains with common scoring.",2026-06-19,Complete,"ServiceNow risk register, Audit Committee quarterly pack",Dana Okafor,Traced R1-R6 into the Q2 Audit Committee pack,5,6,"The register mechanism executed on cadence, and the weekly ROC risk-operations review live since September now feeds aggregated signals into the monthly review, improving the freshness of what reaches the CFO roll-up. Integration remains one-directional: enterprise risks still inform cyber prioritization informally and no common scoring spans domains, so the score holds while the appetite-statement embedding matures.",2026-09-17,Complete,ROC weekly review outputs and monthly register minutes,Leila Haddad,,5.5,6,"The December CFO roll-up used the ratified appetite thresholds as a common reference for the first time, and the FAIR-style pilot's dollar expressions for top risks gave finance a comparable unit. Aggregation is now more than mechanical — cyber exposure is stated in terms enterprise risk review can weigh — though a single cross-domain register does not yet exist.",2026-12-09,Complete,Q4 CFO roll-up pack,Leila Haddad; Dana Okafor,,,,5,,AC-Quarterly-Pack-Q2
GV.RM-04 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-04,Strategic direction that describes appropriate risk response options is established and communicated,Ex1: Specify criteria for accepting and avoiding cybersecurity risk for various classifications of data,"Risk response direction exists in the risk management policy: acceptance authority is tiered by residual score, avoidance criteria are defined for biometric data expansion decisions, and all six strategic risks carry documented mitigate treatments. Data-classification-specific acceptance criteria are still draft — the current matrix covers customer and biometric data but not internal engineering or telemetry data classes..",Yes,Leila Haddad,Gerry Callahan,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,4.5,6,"Risk response direction exists in the risk management policy: acceptance authority is tiered by residual score, avoidance criteria are defined for biometric data expansion decisions, and all six strategic risks carry documented mitigate treatments. Data-classification-specific acceptance criteria are still draft — the current matrix covers customer and biometric data but not internal engineering or telemetry data classes.",2026-06-19,Complete,"Risk response matrix, treatment plans for R1-R6",Leila Haddad,,5,6,"The acceptance-criteria matrix was completed for the remaining data classifications — internal engineering and telemetry classes added — and approved through CISO staff in August, closing the action plan. All six strategic risks retain documented treatments, and acceptance authority tiers now align with the newly ratified appetite statement. First applications of the extended matrix are pending real decisions.",2026-09-16,Complete,Approved acceptance-criteria matrix,Leila Haddad,,5.5,6,"The extended matrix was applied in three acceptance decisions this quarter, each documented with classification-specific criteria and appetite-threshold reference; one telemetry-data acceptance was declined and remediated instead, demonstrating the criteria constraining outcomes. Application evidence now exists across data classes; measurement of acceptance aging began in the December metrics pack.",2026-12-08,Complete,Q4 acceptance decision records,Leila Haddad,Re-performed criteria check on one acceptance decision,Leila Haddad,2026-08-31,5,Complete the acceptance-criteria matrix for the remaining data classifications and route through CISO staff approval.,Risk-Response-Matrix
GV.RM-05 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-05,"Lines of communication across the organization are established for cybersecurity risks
including risks from suppliers and other third parties","Ex1: Determine how to update senior executives, directors, and management on the organization's cybersecurity posture at agreed-upon intervals","Communication lines are established and exercised: monthly CISO staff risk review, quarterly formal register update, quarterly Audit Committee reporting per the Series B governance conditions, and a defined escalation path for new critical risks. Supplier risk signals flow from ServiceNow TPRM workflows into the same review.",Yes,Gerry Callahan,Chris Meyers; Priya Raman; Leila Haddad,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,5.5,6,"Communication lines are established and exercised: monthly CISO staff risk review, quarterly formal register update, quarterly Audit Committee reporting per the Series B governance conditions, and a defined escalation path for new critical risks. Supplier risk signals flow from ServiceNow TPRM workflows into the same review. Cadence has held for five consecutive months; upward reporting is measured through committee minutes.",2026-06-19,Complete,"Meeting calendar and minutes, escalation procedure",Priya Raman,Verified five consecutive monthly reviews occurred with documented outputs,6,6,"Communication cadence extended to eight consecutive months and gained a layer: the weekly ROC risk-operations review now feeds the monthly CISO staff review, and the September Audit Committee session received the first pack under the new charter's reporting contract. Escalation path was exercised once for a supplier reassessment finding. Upward reporting effectiveness is measured through committee minutes and pack acceptance.",2026-09-18,Complete,ROC weekly review records and September committee pack,Gerry Callahan,,6,6,"Cadence held through year end at all three layers — weekly operations, monthly staff, quarterly committee — with the December pack delivering the year-end risk position in the charter's six-section format. Target met and sustained; further advance requires the dollar-denominated reporting maturing across 2027 rather than new communication structure.",2026-12-11,Complete,Q4 committee pack and cadence records,Gerry Callahan,,,,5,,Risk-Comms-Cadence-Record
GV.RM-06 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-06,"A standardized method for calculating
documenting
categorizing
and prioritizing cybersecurity risks is established and communicated","Ex1: Establish criteria for using a quantitative approach to cybersecurity risk analysis, and specify probability and exposure formulas","Risk scoring today is a qualitative five-by-five matrix in ServiceNow with defined likelihood and impact anchors — documented and applied consistently, but there is no quantitative methodology: no probability formulas, no exposure-in-dollars calculation, no loss-exceedance view. For a company whose board asks what the 2024 incidents cost, the absence of dollar-denominated risk analysis is the largest single gap in risk governance..",Yes,Leila Haddad,Gerry Callahan; Dana Okafor,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,3.5,6,"Risk scoring today is a qualitative five-by-five matrix in ServiceNow with defined likelihood and impact anchors — documented and applied consistently, but there is no quantitative methodology: no probability formulas, no exposure-in-dollars calculation, no loss-exceedance view. For a company whose board asks what the 2024 incidents cost, the absence of dollar-denominated risk analysis is the largest single gap in risk governance.",2026-06-19,Complete,"Risk scoring procedure, ServiceNow scoring configuration",Leila Haddad,Reviewed scoring consistency across 10 register entries,4.5,6,"The FAIR-style quantification pilot ran in Q3 on the top three strategic risks (R3 detection, R5 trust, R6 supplier): loss magnitude and frequency ranges were estimated with calibrated inputs from Finance and Customer Success, producing first dollar-denominated exposure ranges. Method documentation exists but application is not yet consistent across the register — three of six strategic risks quantified, operational risks untouched.",2026-09-19,In Progress,Pilot methodology and three risk quantifications,Leila Haddad; Dana Okafor,,5.5,6,"Quantification extended to all six strategic risks in November, and the first loss-exceedance view was presented to the Audit Committee in December against the appetite line derived from insurance limits — the deliverable the action plan named. The committee used it to compare two FY2027 investment options. Consistent application at strategic tier is achieved; operational-tier quantification remains 2027 work.",2026-12-10,Complete,December loss-exceedance presentation and committee minutes,Leila Haddad,Recomputed exposure range for R6 from documented inputs,Leila Haddad,2026-12-15,5,"Adopt a quantitative risk analysis method (FAIR-style loss magnitude and frequency estimation) for the top six strategic risks, expressing exposure in dollars-at-risk; pilot in Q3 and present the first loss-exceedance view to the Audit Committee in Q4.",Risk-Scoring-Procedure
GV.RM-07 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-07,"Strategic opportunities (i.e.
positive risks) are characterized and are included in organizational cybersecurity risk discussions","Ex1: Define and communicate guidance and methods for identifying opportunities and including them in risk discussions (e.g., strengths, weaknesses, opportunities, and threats [SWOT] analysis)","Positive risk is discussed opportunistically — the security program's role in winning enterprise deals appears in board narratives, and compliance posture is cited by Sales as a differentiator — but there is no defined method for characterizing opportunities in risk discussions. No SWOT or equivalent structure exists in the register, and opportunity items are not recorded or tracked..",Yes,Gerry Callahan,Chris Meyers; Marcus Lee,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,3,5,"Positive risk is discussed opportunistically — the security program's role in winning enterprise deals appears in board narratives, and compliance posture is cited by Sales as a differentiator — but there is no defined method for characterizing opportunities in risk discussions. No SWOT or equivalent structure exists in the register, and opportunity items are not recorded or tracked.",2026-06-19,Complete,"Risk register, board narrative sections",Gerry Callahan,,3.5,5,"An opportunity record type was added to the ServiceNow register in August per the action plan, and two entries exist — security posture as an enterprise-sales differentiator and compliance readiness accelerating the Passkey partner review. Discussion remains opportunistic: the quarterly review has no standing opportunity section yet and no quantification has been attempted.",2026-09-15,In Progress,Register opportunity records,Leila Haddad,,4.5,5,"The Q4 risk review included its first strategic-opportunity section: Sales quantified security-influenced pipeline for two enterprise deals where the trust-rebuild narrative and compliance posture were cited by prospects, and the opportunity register grew to five tracked items with owners. The mechanism now exists and executed once; consistency across cycles is not yet demonstrated.",2026-12-09,Complete,Q4 review opportunity section and register entries,Leila Haddad,,Leila Haddad,2026-10-31,5,"Run the opportunity section in every quarterly review through 2027, quantifying security-influenced pipeline with Sales each cycle; reassess scoring once three consecutive cycles complete. Due 2027-06-30, owner Leila Haddad.",Register-Schema-Change-Request
GV.RR-01 Ex4,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RR,"Roles
Responsibilities and Authorities","Cybersecurity roles
responsibilities
and authorities to foster accountability
performance assessment
and continuous improvement are established and communicated",GV.RR-01,"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware
ethical
and continually improving",Ex4: Conduct reviews to ensure adequate authority and coordination among those responsible for managing cybersecurity risk,"Leadership accountability is structurally sound post-rebuild: the CISO reports to the CEO with quarterly Audit Committee access, coordination reviews between Security, Engineering, and IT run monthly, and the A-tier hiring strategy under R1 is tracked at board level — three of five senior roles filled by end of Q2. Authority reviews completed twice; culture survey results improved quarter over quarter..",Yes,Gerry Callahan,Chris Meyers; Priya Raman,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,"1. Review Security Governance Charter
2. Verify CISO reporting structure
3. Examine coordination meeting records
4. Assess hiring strategy progress",5,5,Per Internal Audit Q1 2026 assessment (IA-2026-001); see IA workpapers.,2026-03-10,Complete,Per IA workpapers,Per IA workpapers,Per IA workpapers,6,5,"Leadership accountability is structurally sound post-rebuild: the CISO reports to the CEO with quarterly Audit Committee access, coordination reviews between Security, Engineering, and IT run monthly, and the A-tier hiring strategy under R1 is tracked at board level — three of five senior roles filled by end of Q2. Authority reviews completed twice; culture survey results improved quarter over quarter.",2026-06-19,Complete,"Org chart, coordination meeting records, hiring tracker",Chris Meyers,Verified hiring tracker against Workday records,6,5,"Accountability structure held through the quarter: CISO-to-CEO reporting with September Audit Committee session, monthly Security-Engineering-IT coordination documented, and the R1 hiring plan advanced — a fourth senior role filled and one remaining backfill converted to the ROC data-pipeline engineer per the charter decision. Authority review executed on the semiannual schedule; culture survey trend positive for a third consecutive quarter.",2026-09-18,Complete,Coordination minutes and R1 hiring tracker,Gerry Callahan,,6,5,"Holding at measured: leadership accountability mechanisms executed unchanged through Q4, with the data-pipeline engineer onboarded in October and the final R1 requisition open into 2027 — reported honestly to the board rather than claimed closed. No structural advance this quarter; sustained execution evidenced through committee access records and coordination minutes.",2026-12-11,Complete,Q4 coordination records and staffing report,Gerry Callahan,,,,5,,R1-Hiring-Tracker
GV.RR-02 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RR,"Responsibilities
and Authorities (GV.RR)","Cybersecurity roles
responsibilities
and authorities to foster accountability
performance assessment
and continuous improvement are established and communicated",GV.RR-02,"Roles
responsibilities
and authorities related to cybersecurity risk management are established
communicated
understood
and enforced",Ex1: Document risk management roles and responsibilities in policy,"Risk management roles and responsibilities are documented in policy with a maintained RACI covering CISO, D&R, VM, GRC, Engineering, and Internal Audit boundaries — including the explicit independence of Internal Audit from control ownership. The RACI was reviewed and reissued in April after the GRC lead role was formalized under Leila Haddad.",Yes,Gerry Callahan,Leila Haddad; Nadia Khan; Chris Magann,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,"1. Review Information Security Policy
2. Examine RACI matrix
3. Verify reporting structure
4. Interview security team leads",5,5,Per Internal Audit Q1 2026 assessment (IA-2026-001); see IA workpapers.,2026-03-10,Complete,Per IA workpapers,Per IA workpapers,Per IA workpapers,6,5,"Risk management roles and responsibilities are documented in policy with a maintained RACI covering CISO, D&R, VM, GRC, Engineering, and Internal Audit boundaries — including the explicit independence of Internal Audit from control ownership. The RACI was reviewed and reissued in April after the GRC lead role was formalized under Leila Haddad. Team leads confirm understanding; enforcement is evidenced through access-governance decisions.",2026-06-19,Complete,"Policy RACI, April reissue memo",Nadia Khan; Chris Magann,Sampled 3 access decisions for RACI conformance,6,5,"The RACI held current through the quarter with one update: ROC roles from the August charter — risk operations analysts, business-context analyst, data-pipeline engineer — were added with boundaries against existing D&R and VM responsibilities, preserving Internal Audit independence language. Team leads reconfirmed understanding in September coordination; enforcement evidenced through access-governance decisions.",2026-09-17,Complete,Updated RACI with ROC roles,Gerry Callahan; Leila Haddad,,6,5,Sustained at measured: no organizational changes required RACI revision this quarter; the annual policy review in November revalidated role documentation and the ROC role boundaries operated without conflict through the first full quarter of the weekly cadence. Score holds — the control demonstrates continued measured execution rather than new capability.,2026-12-10,Complete,November revalidation record,Gerry Callahan,,,,5,,Security-RACI-2026-04
GV.RR-03 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RR,"Roles
Responsibilities
and Authorities (GV.RR)","Cybersecurity roles
responsibilities
and authorities to foster accountability
performance assessment
and continuous improvement are established and communicated",GV.RR-03,"responsibilities
Adequate resources are allocated commensurate with the cybersecurity risk strategy
roles
and policies",Ex1: Conduct periodic management reviews to ensure that those given cybersecurity risk management responsibilities have the necessary authority,Resourcing is reviewed in the annual budget cycle and the R1 staffing plan: the $5.3M operating budget plus $637K of named projects is board-visible and tied to the risk register. However the team remains understaffed against plan — two of five senior hires open — and management reviews of whether responsibility holders have adequate authority happen ad hoc rather than on the documented semiannual cycle..,Yes,Gerry Callahan,Chris Meyers; Dana Okafor,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,4.5,5,Resourcing is reviewed in the annual budget cycle and the R1 staffing plan: the $5.3M operating budget plus $637K of named projects is board-visible and tied to the risk register. However the team remains understaffed against plan — two of five senior hires open — and management reviews of whether responsibility holders have adequate authority happen ad hoc rather than on the documented semiannual cycle.,2026-06-19,Complete,"FY2026 budget, R1 staffing plan, review records",Dana Okafor,,5,5,"The semiannual authority-and-resourcing review was formalized and executed in September with documented outputs, and staffing advanced: the fourth senior hire started, and the fifth requisition was converted to the ROC data-pipeline engineer per the charter decision, closing the structural gap differently than the original backfill plan. Budget-to-register linkage held; the review mechanism now has one documented formal cycle.",2026-09-19,Complete,September review outputs and staffing tracker,Gerry Callahan,,5.5,5,"Resourcing review inputs fed the FY2027 budget submission with explicit risk-register linkage, and the data-pipeline engineer's onboarding completed the reshaped R1 plan except one open requisition, reported honestly to the board. The formalized review has now run once on schedule with tracked outputs; a second cycle in H1 2027 will establish the trend.",2026-12-09,Complete,FY2027 budget submission and Q4 staffing report,Gerry Callahan,,Gerry Callahan,2026-09-30,5,Complete the two remaining senior hires under the R1 plan and formalize the semiannual authority-and-resourcing review with documented outputs.,FY2026-Security-Budget
GV.RR-04 Ex1,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,GV.RR,"Roles
Responsibilities
and Authorities (GV.RR)","Cybersecurity roles
responsibilities
and authorities to foster accountability
performance assessment
and continuous improvement are established and communicated",GV.RR-04,Cybersecurity is included in human resources practices,"Ex1: Integrate cybersecurity risk management considerations into human resources processes (e.g., personnel screening, onboarding, change notification, offboarding)","Onboarding and offboarding checklists in Workday include security steps — account provisioning through the SSO stack, security awareness assignment, and CyberArk enrollment for privileged roles. Gaps persist at the edges: contractor lifecycle events are handled manually (the INC-2024-02 SSH key originated with a contractor laptop), personnel screening depth is not tiered by role sensitivity, and internal transfer access reviews are not systematic..",Yes,Gerry Callahan,Dana Okafor,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,4,5,"Onboarding and offboarding checklists in Workday include security steps — account provisioning through the SSO stack, security awareness assignment, and CyberArk enrollment for privileged roles. Gaps persist at the edges: contractor lifecycle events are handled manually (the INC-2024-02 SSH key originated with a contractor laptop), personnel screening depth is not tiered by role sensitivity, and internal transfer access reviews are not systematic.",2026-06-19,Complete,"Workday onboarding/offboarding checklists, contractor process docs",Gerry Callahan,Sampled 5 Q2 offboardings; 4 of 5 completed all security steps on time,4.5,5,"Contractor lifecycle checklists went live in Workday in August — the direct answer to the INC-2024-02 contractor-laptop pattern — with provisioning and deprovisioning steps mirrored from employee flows and CyberArk enrollment enforced for privileged contractor access. Role-tiered screening criteria were drafted but not yet adopted, and internal-transfer access recertification remains manual, so material edge gaps persist.",2026-09-16,In Progress,Contractor lifecycle checklists and Workday records,Gerry Callahan,Sampled two Q3 contractor offboardings for checklist completion,5,5,Tiered screening criteria were adopted in October and internal-transfer recertification triggers went live in Workday in November; December sampling of three transfers and two contractor terminations showed checklist completion with access removal verified against SSO and CyberArk. The lifecycle control now executes consistently across employees and contractors with known-minor flaws in screening-depth documentation.,2026-12-10,Complete,Q4 transfer recertification records,Gerry Callahan,Sampled three transfers and two contractor terminations,Gerry Callahan,2026-10-31,5,"Extend the Workday lifecycle checklists to contractors, add role-tiered screening criteria, and trigger access re-certification on internal transfers.",Lifecycle-Checklist-Samples
